[2023-07-02 21:00:01,911] INFO in app: path: /web/new_link | method: POST | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:00:53,304] INFO in app: path: /web/new_link | method: POST | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:01:11,879] INFO in app: path: /web/new_link | method: POST | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:02:11,338] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:02:11,365] INFO in app: path: /web/ | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:05:18,952] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:05:18,977] INFO in app: path: /web/ | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:06:17,757] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:06:17,806] INFO in app: path: /web/ | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:08:38,238] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:08:38,257] INFO in app: path: /web/ | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:08:46,874] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:08:46,897] INFO in app: path: /web/ | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:09:31,084] INFO in app: path: /web/new_link | method: POST | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:09:37,514] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 288
[2023-07-02 21:09:41,815] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:09:41,829] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 925
[2023-07-02 21:09:44,007] INFO in app: path: /web/150104810770424809974167679160617951915 | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:14:34,212] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 925
[2023-07-02 21:14:41,528] INFO in app: path: /web/181107640866000761819334464724066757831 | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:17:00,862] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 925
[2023-07-02 21:17:01,887] INFO in app: path: /web/181107640866000761819334464724066757831 | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:18:38,875] INFO in app: path: /web/85313617032603408434763981812404867345 | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:19:43,920] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 908
[2023-07-02 21:19:45,312] INFO in app: path: /web/88401018-4184-41f7-8fff-6eff1a71ecc7 | method: GET | status: 200 OK | size: 204
[2023-07-02 21:19:48,161] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 908
[2023-07-02 21:19:51,718] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 288
[2023-07-02 21:19:54,133] INFO in app: path: /web/new_link | method: POST | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:22:34,431] INFO in app: path: /web/new_link | method: POST | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:23:33,791] INFO in app: path: /web/new_link | method: POST | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-02 21:24:28,438] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 22
[2023-07-02 21:24:56,778] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 288
[2023-07-02 21:25:14,371] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 908
[2023-07-02 21:25:43,370] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 838
[2023-07-02 21:25:48,526] INFO in app: path: /web/70ed228e-702c-4ce0-941b-148542f662ab | method: GET | status: 200 OK | size: 204
[2023-07-02 21:25:49,781] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 838
[2023-07-02 21:25:51,225] INFO in app: path: /web/70ed228e-702c-4ce0-941b-148542f662ab | method: GET | status: 200 OK | size: 204
[2023-07-02 21:25:52,287] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 838
[2023-07-02 21:25:52,881] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 288
[2023-07-02 21:25:58,066] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:25:58,074] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 951
[2023-07-02 21:26:04,626] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 951
[2023-07-02 21:26:23,353] INFO in app: path: /web/402ece12-8f6f-4d77-817f-29cb30c85111 | method: GET | status: 200 OK | size: 204
[2023-07-02 21:26:24,977] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 951
[2023-07-02 21:41:04,906] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 288
[2023-07-02 21:52:54,617] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 951
[2023-07-02 21:52:56,069] INFO in app: path: /web/949bae90-8ace-44b6-9345-4420bd5b39f4 | method: GET | status: 200 OK | size: 204
[2023-07-02 21:52:57,247] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 951
[2023-07-02 21:52:58,048] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:53:05,907] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 21:53:29,210] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:53:33,722] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 21:53:33,731] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
[2023-07-02 21:54:00,397] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:54:41,171] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 21:56:10,426] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:56:21,041] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 21:57:00,515] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:57:09,907] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 22
[2023-07-02 21:57:18,197] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:57:25,096] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 9
[2023-07-02 21:57:39,909] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:57:41,034] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 22
[2023-07-02 21:57:42,518] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:59:44,604] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 21:59:50,081] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 22:01:10,690] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:01:14,497] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 22:01:20,376] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:01:24,953] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 22:02:28,308] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:02:29,352] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 22:02:46,213] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:02:53,148] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 8
[2023-07-02 22:05:27,225] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:05:31,072] INFO in app: path: /web/new_link | method: POST | status: 400 BAD REQUEST | size: 167
[2023-07-02 22:07:28,420] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:07:32,037] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:07:32,084] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
[2023-07-02 22:07:53,642] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:09:00,677] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:09:00,689] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
[2023-07-02 22:09:37,664] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:09:46,139] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:09:46,184] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
[2023-07-02 22:09:58,275] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
[2023-07-02 22:09:59,618] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:10:00,836] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 19
[2023-07-02 22:10:02,154] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:10:07,927] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:10:07,939] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
[2023-07-02 22:10:09,309] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:10:12,577] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:10:12,588] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
[2023-07-02 22:10:16,753] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:10:21,570] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:10:21,583] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1058
